Date,Prev Close,Open,High,Low,Last,Close,Turnover
20000103,45.2,48,48.85,48,48.85,48.85,19987000000
20000104,48.85,52,52.75,50.15,51.8,51.4,2.52588E+11
20000105,51.4,55,55.55,51.05,55.55,55.55,2.58073E+11
20000106,55.55,59.75,60,57.3,60,60,6.34547E+11
20000107,60,64,64.8,60.1,64.8,64.65,7.4013E+11
20000110,64.65,67.95,68.5,61.5,65.25,65.5,6.87784E+11
20000111,65.5,62.8,64,60.3,62.45,61.6,6.62862E+11
20000112,61.6,62,65.25,61.15,65,63.95,3.99084E+11
20000113,63.95,65,66,60.45,60.45,61.25,5.28268E+11
20000114,61.25,64.9,64.95,60.3,63,62.35,2.23179E+11
20000117,62.35,64,67.35,64,66,65.25,7.54135E+11
20000118,65.25,65.55,66.5,62.5,65.55,65.55,4.85508E+11
20000119,65.55,67,67.5,64.1,66,66.05,3.8301E+11
20000120,66.05,66,67,61.6,61.6,62.4,1.98383E+11
20000121,62.4,61.15,63.9,61.1,63.15,63.25,1.33913E+11
20000124,63.25,62,62,58.5,59.1,59.9,2.25506E+11
20000125,59.9,57.1,58.5,56.05,57.25,56.95,2.29079E+11
20000127,56.95,57.95,57.95,56,57.1,57.05,1.61131E+11
20000128,57.05,56,56.95,55.1,55.25,55.4,86734000000
20000131,55.4,54.1,55.3,51,51,51.55,66459500000
20000201,51.55,49.1,52.8,49.1,52,51.4,1.41417E+11
20000202,51.4,54.9,55.55,53,55.55,55.55,3.0679E+11
20000203,55.55,55.5,60,55.5,58.75,58.85,94647000000
20000204,58.85,61,63.6,60.5,63.6,63.6,3.47344E+11
20000207,63.6,64,64,60.1,60.1,60.45,1.30516E+11
20000208,60.45,56,60,56,57,57.35,1.2518E+11
20000209,57.35,59.95,59.95,54.15,54.5,55.25,1.1295E+11
20000210,55.25,57.5,57.7,54,57.7,56.55,53889500000
20000211,56.55,54.35,56.5,54.3,55,55,21455500000
20000214,55,53,54,51.1,52.4,52.4,33858000000
20000215,52.4,51,53,48.5,49.45,49.1,87708000000
20000216,49.1,52,52,45.3,45.3,45.5,1.61728E+11
20000217,45.5,46.4,49,46.2,47,46.5,1.4552E+11
20000218,46.5,45.7,47.7,45.1,46.15,45.9,67328500000
20000221,45.9,44.5,46.7,44,45.4,45.8,68178500000
20000222,45.8,45.9,46,43.5,44.9,44.65,1.01596E+11
20000223,44.65,48,48,43.1,43.1,43.1,1.15958E+11
20000224,43.1,41,44.6,39.7,40.1,40.75,65327500000
20000225,40.75,41,42,38.7,41.85,40.75,47102500000
20000228,40.75,40,44,40,44,43.6,67087000000
20000229,43.6,46,46,41,41,41.1,1.00777E+11
20000301,41.1,43,43.65,41,42.4,42.45,59744000000
20000302,42.45,41.25,42.5,41,42,41.65,68138500000
20000303,41.65,44,44,39.6,41.05,41.25,69143000000
20000306,41.25,41.95,41.95,37.95,37.95,37.95,74626500000
20000307,37.95,35.2,36.9,34.95,34.95,34.95,52727000000
20000308,34.95,32.5,34.5,32.15,32.15,32.35,93077500000
20000309,32.35,33.35,33.5,29.8,30.85,31.15,88071000000
20000310,31.15,30.05,32.85,30.05,31.5,31.15,28996500000
20000313,31.15,32.45,32.45,29,30.1,30.6,57672500000
20000314,30.6,31.6,31.6,29,29.5,29.6,95293500000
20000315,29.6,32,32,32,32,32,4800000000
20000316,32,34.55,34.6,34.55,34.6,34.6,41865500000
20000321,34.6,34.9,37.4,34.9,37.4,37.4,76590400000
20000322,37.4,39,40.4,39,40.4,40.4,6046000000
20000323,40.4,43.6,43.65,40,42.75,41.8,1.1881E+11
20000324,41.8,41.5,41.5,38.5,40.75,40.6,32873675000
20000327,40.6,41,43,41,41.6,41.55,41106525000
20000328,41.55,42.55,42.55,40,41.5,40.7,87966975000
20000329,40.7,43,43,40.75,40.75,41,28143000000
20000330,41,40.9,41.8,38.55,40,40,24070000000
20000331,40,41.15,43.2,39,42.55,42.6,15385500000
20000403,42.6,42,43,41.95,42.7,42.35,33746000000
20000404,42.35,42,42,39,39,39,31989500000
20000405,39,39,40.75,37,38.5,38.1,22763000000
20000406,38.1,38.55,39,35.15,37.25,37.15,1.1632E+11
20000407,37.15,37.25,40.15,37.25,40.15,40.15,23765500000
20000410,40.15,39.4,41.5,39.4,41.3,40.8,16642490000
20000411,40.8,39.2,41,39,40.5,40.55,33805215000
20000412,40.55,40.75,43,40,42,42,42846750000
20000413,42,41.1,42.5,41.05,41.05,41.2,16088745000
20000417,41.2,41,41.95,38.8,41.8,41.7,15248885000
20000418,41.7,41.5,43.8,41.5,42.05,43.15,26244215000
20000419,43.15,43.5,46.4,42,45,43.65,34669450000
20000420,43.65,42.65,42.7,41.25,42.25,42.45,20391470000
20000424,42.45,43,43,39.1,39.55,39.7,35639300000
20000425,39.7,38.5,39.75,38,39.5,39.7,23297770000
20000426,39.7,39.65,41,39.65,40,40.25,53831250000
20000427,40.25,42.35,42.35,39.75,39.75,39.8,15248620000
20000428,39.8,39.1,39.15,37.15,37.95,37.95,23419815000
20000502,37.95,38,38,35.7,36.55,36.45,40248105000
20000503,36.45,34.05,35,34,34.5,34.55,14919625000
20000504,34.55,34.5,36.95,34.5,36.25,35.95,11118075000
20000505,35.95,37.35,37.45,36.15,37,36.95,11242075000
20000508,36.95,35.9,38,35.35,38,38,8430000000
20000509,38,37.4,39,36.65,39,38,12417675000
20000510,38,37.35,38.3,37.35,37.9,37.85,9419845000
20000511,37.85,37.9,39,37.15,39,38.15,7970900000
20000512,38.15,38.45,39.35,37,37.9,37.9,15202500000
20000515,37.9,37.5,39,36,39,38.45,15442175000
20000516,38.45,38,39.75,37.15,38,38.15,60140505000
20000517,38.15,40,40,37,37,37.1,10257580000
20000518,37.1,37,37.9,37,37,37,2066500000
20000519,37,38,38,36.5,37,37,3059500000
20000522,37,38,38,36.15,36.15,36.15,8188000000
20000523,36.15,37.5,38,36.25,37,37.5,6834950000
20000524,37.5,36.05,36.5,34.5,34.5,34.55,49152500000
20000525,34.55,35.7,35.7,33.05,33.05,33.55,46304500000
20000526,33.55,33.5,33.7,33.1,33.1,33.3,21126890000
20000529,33.3,34,36,34,36,36,23295240000
20000530,36,37,38.9,36,38.9,38.9,1.64148E+11
20000531,38.9,42,42,40.5,40.75,40.9,1.63115E+11
20000601,40.9,39.1,40.7,38.05,38.05,38.35,23088675000
20000602,38.35,39.05,39.2,37.1,37.95,37.45,16546460000
20000605,37.45,38,38.95,38,38.1,38.15,17784250000
20000606,38.15,37,38,36.2,36.95,36.6,39443445000
20000607,36.6,37.5,37.5,36.2,36.2,36.45,14833860000
20000608,36.45,37.35,37.45,36.1,37.05,37,9051500000
20000609,37,36.5,37.75,36.5,37.75,37.35,12211000000
20000612,37.35,35,37.5,35,37.5,37.5,7182750000
20000613,37.5,36,37.5,36,36.55,36.9,16034735000
20000614,36.9,37.1,37.15,36.5,36.95,36.95,11221175000
20000615,36.95,37,37,36.1,36.7,36.5,5883250000
20000616,36.5,35.55,36.9,35.55,36.8,36.5,11031875000
20000619,36.5,36.2,36.2,35.25,35.5,35.5,3458400000
20000620,35.5,35.55,35.85,34.8,34.8,35,16629575000
20000621,35,35,35.8,34.6,35.8,35.25,15627820000
20000622,35.25,35.1,35.5,34.65,34.65,34.65,3892330000
20000623,34.65,35.5,35.55,34.4,34.4,34.75,7233900000
20000626,34.75,34.95,35,34.1,34.9,34.75,6756000000
20000627,34.75,35,35.9,34.1,34.7,34.7,17087860000
20000628,34.7,35.75,36.9,35.5,35.75,35.75,3596825000
20000629,35.75,34.95,35.75,34.95,35.5,35.5,5377840000
20000630,35.5,35.75,35.75,34.5,34.9,34.85,15184370000
20000703,34.85,35,35.2,34.55,35,35,9073820000
20000704,35,34.4,35.2,34.4,35.2,35.05,19926455000
20000705,35.05,35.9,36,33.7,35.25,35.35,14383970000
20000706,35.35,35.5,35.5,34.15,34.2,34.2,12157275000
20000707,34.2,34,34.25,33.75,34,33.95,8680500000
20000710,33.95,33.5,33.85,32.55,32.7,32.7,6236410000
20000711,32.7,33,33.2,32.55,32.55,32.85,11291675000
20000712,32.85,33.25,35.5,33.25,35.5,35.15,26956450000
20000713,35.15,34.25,34.25,33.6,33.6,33.6,7456660000
